0	3000	0.7
3001	4000	0.65
4001	5000	0.6
5001	6000	0.59
6001	7000	0.58
7001	8000	0.57
8001	9000	0.56
9001	10000	0.55
10001	11000	0.54
11001	12000	0.53
12001	13000	0.52
13001	14000	0.51
14001	15000	0.5
15001	16000	0.49
16001	17000	0.48
17001	18000	0.47
18001	19000	0.46
19001	inf	0.45
