	CU-1-[12]	CU-2-3	CU-2-4	CU-2-5	CU-3-3	CU-3-[678]
Separately Regulated Distribution, and Storage Uses\Impound Storage Yards	-(1)	C	C	C	-(2)(12)	-
Separately Regulated Distribution, and Storage Uses\Junk Yards	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Distribution, and Storage Uses\Temporary Construction Storage Yards Located off-site	-(1)	L	L	L	L(2)(12)	L
Industrial\Heavy Manufacturing	-(1)	-	-	-	-(2)(12)	-
Industrial\Light Manufacturing	-(1)	P(8)(9)	P(8)(9)	P(8)(9)	P(8)(2)(12)	P(8)
Industrial\Marine Industry	-(1)	-	-	-	-(2)(12)	-
Industrial\Research & Development	-(1)	P	P	P	P(2)(12)	P
Industrial\Testing Labs	-(1)	-	-	-	-(2)(12)	-
Industrial\Trucking & Transportation Terminals	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Industrial Uses\Cannabis Production Facilities	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Industrial Uses\Hazardous Waste Research Facility	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Industrial Uses\Hazardous Waste Treatment Facility	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Industrial Uses\Marine Related Uses Within the Coastal Overlay Zone	-(1)	C	C	C	C(2)(12)	C
Coastal Overlay Zone\Mining and Extractive Industries	-(1)	-	-	-	-(2)(12)	-
Coastal Overlay Zone\Newspaper Publishing Plants	-(1)	P	P	P	C(2)(12)	C
Coastal Overlay Zone\Processing & Packaging of Plant Products & Animal By-products Grown Off-premises	-(1)	C(10)	C(10)	C(10)	-(2)(12)	-
Coastal Overlay Zone\Very Heavy Industrial Uses	-(1)	-	-	-	-(2)(12)	-
Coastal Overlay Zone\Wrecking & Dismantling of Motor Vehicles	-(1)	-	-	-	-(2)(12)	-
Signs\Allowable Signs	P(11)(1)	P	P	P	P(2)(12)	P
Separately Regulated Signs Uses\Community Entry Signs	L(1)	L	L	L	L(2)(12)	L
Separately Regulated Signs Uses\Neighborhood Identification Signs	N(1)	N	N	N	N(2)(12)	N
Separately Regulated Signs Uses\Comprehensive Sign Program	N(1)	N	N	N	N(2)(12)	N
Separately Regulated Signs Uses\Revolving Projecting Signs	-(1)	N	N	N	N(2)(12)	N
Separately Regulated Signs Uses\Signs with Automatic Changing Copy	-(1)	N	N	N	N(2)(12)	N
Separately Regulated Signs Uses\Theater Marquees	-(1)	N	N	N	N(2)(12)	N
