1	A single dwelling unit is permitted only as an accessory use to a permitted agricultural use on the same premises. premises.
2	See Section 131.0340(a).
3	See Section 131.0340(b).
4	See Section 131.0342(a)
5	See Section 131.0342(b).
6	Each dwelling unit shall have a gross floor area of at least 650 square feet, not including the garage.
7	Structures that are used to provide shade areas for growing plants, such as green houses and agricultural shade structures, are not included for determining lot coverage.
