	OP-1-1	OP-2-1	OC-1-1	OR-1-[12]	OF-1-1
Pushcarts on Private Property	L	-	-	-	-
Pushcarts in Public-Right-of-Way	N	-	-	-	-
Recycling Facilities: Large Collection Facility	-	-	-	-	-
Recycling Facilities: Small Collection Facility	-	-	-	-	-
Recycling Facilities: Large Construction & Demolition Debris Recycling Facility	-	-	-	-	-
Recycling Facilities: Small Construction & Demolition Debris Recycling Facility	-	-	-	-	-
Recycling Facilities: Drop-off Facility	L	L	-	-	-
Recycling Facilities: Green Materials Composting Facility	-	-	-	-	-
Recycling Facilities: Mixed Organic Composting Facility	-	-	-	-	-
Recycling Facilities: Large Processing Facility Accepting at Least 98% of Total Annual Weight of Recyclables from Commercial & Industrial Traffic	-	-	-	-	-
Recycling Facilities: Large Processing Facility Accepting All Types of Traffic	-	-	-	-	-
Recycling Facilities: Small Processing Facility Accepting at Least 98% of Total Annual Weight of Recyclables From Commercial & Industrial Traffic	-	-	-	-	-
Recycling Facilities: Small Processing Facility Accepting All Types of Traffic	-	-	-	-	-
Recycling Facilities: Reverse Vending Machines	-	-	-	-	-
Recycling Facilities: Tire Processing Facility	-	-	-	-	-
Sidewalk Cafes	-	-	-	-	-
Sports Arenas & Stadiums	-	-	-	-	-
Theaters that are outdoor or over 5,000 square feet in size	P(2)	-	-	-	-
Urgent Care Facilities	-	-	-	-	-
Veterinary Clinics & Animal Hospitals	-	-	-	-	-
Zoological Parks	C	-	-	-	-
Business & Professional	-	-	-	-	-
Government	-	-	-	-	-
Medical, Dental, & Health Practitioner	-	-	-	-	-
Regional & Corporate Headquarters	-	-	-	-	-
Real Estate Sales Offices & Model Homes	-	-	-	L	-
Sex Offender Treatment & Counseling	-	-	-	-	-
Commercial Vehicle Repair & Maintenance	-	-	-	-	-
Commercial Vehicle Sales & Rentals	-	-	-	-	-
Personal Vehicle Repair & Maintenance	-	-	-	-	-
Personal Vehicle Sales & Rentals	-	-	-	-	-
Vehicle Equipment & Supplies Sales & Rentals	-	-	-	-	-
Automobile Service Stations	-	-	-	-	-
Outdoor Storage & Display of New, Unregistered Motor Vehicles as a Primary Use	-	-	-	-	-
Vehicle Storage Facilities as a Primary Use	-	-	-	-	-
Equipment & Materials Storage Yards	-	-	-	-	-
Moving & Storage Facilities	-	-	-	-	-
Distribution Facilities	-	-	-	-	-
Junk Yards	-	-	-	-	-
Temporary Construction Storage Yards Located Off-site	-	-	-	-	-
Heavy Manufacturing	-	-	-	-	-
Light Manufacturing	-	-	-	-	-
Marine Industry	-	-	-	-	-
Research & Development	-	-	-	-	-
Testing Labs	-	-	-	-	-
Trucking & Transportation Terminals	-	-	-	-	-
Artisan Food and Beverage Producer	-	-	-	-	-
Cannabis Production Facilities	-	-	-	-	-
Hazardous Waste Research Facility	-	-	-	-	-
Hazardous Waste Treatment Facility	-	-	-	-	-
Marine Related Uses Within the Coastal Overlay Zone	-	-	-	-	-
Mining and Extractive Industries	-	-	-	C(8)	C(7)
Newspaper Publishing Plants	-	-	-	-	-
Processing & Packaging of Plant Products & Animal By-	-	-	-	-	-
Very Heavy Industrial Uses	-	-	-	-	-
Wrecking & Dismantling of Motor Vehicles	-	-	-	-	-
Allowable Signs	P	P	P	P	P
Community Entry Signs	-	-	-	-	-
Neighborhood Identification Signs	-	-	-	-	-
Comprehensive Sign Program	-	-	-	-	-
Revolving Projecting Signs	-	-	-	-	-
Signs with Automatic Changing Copy	-	-	-	-	-
Theater Marquees	-	-	-	-	-
